# timestamp tx ty tz qx qy qz qw
1311867170.626086712 -0.098039703 0.005496405 -0.018921050 -0.000102599 0.006192310 -0.000691567 0.999980583
1311867170.662139654 -0.089612827 -0.000170203 -0.021128356 -0.003799235 0.003817472 -0.001847645 0.999983789
1311867170.694204569 -0.081906378 0.000163614 -0.023694683 -0.004332848 0.001732336 -0.004696787 0.999978083
1311867170.726388454 -0.100519676 0.002338112 -0.025560235 -0.005053506 0.005773043 -0.005710535 0.999954261
1311867170.762018919 -0.117784673 -0.005411349 -0.024531536 -0.005856600 0.006367597 -0.005132027 0.999949407
1311867170.794192076 -0.121987670 -0.012557615 -0.029476935 -0.005989860 0.004199465 -0.003117946 0.999968382
1311867170.826281786 -0.127165532 -0.025456047 -0.031981885 -0.005527124 0.002642640 -0.002174943 0.999978868
1311867170.862220764 -0.123597241 -0.024867507 -0.039456246 -0.002167180 0.001029567 -0.001863754 0.999995385
1311867170.894378424 -0.131438250 -0.028794702 -0.038326263 0.000406754 0.002531093 -0.003281798 0.999991329
1311867170.926351309 -0.126687695 -0.039259299 -0.046970532 0.000948381 0.002754733 -0.004477696 0.999985731
1311867170.962147474 -0.149500705 -0.046170683 -0.047366932 0.002785331 0.007289497 -0.008293677 0.999935158
1311867170.994262934 -0.135007809 -0.060114649 -0.054191324 0.001147513 0.003361156 -0.009171952 0.999951629
1311867171.026273966 -0.144795497 -0.064179875 -0.064596365 0.001203313 0.005954206 -0.009293562 0.999938363
1311867171.062352657 -0.161867249 -0.052452492 -0.061614615 0.007650788 0.008362688 -0.012003491 0.999863714
1311867171.094235420 -0.152334348 -0.075010808 -0.068721640 0.004930435 0.005978340 -0.011750212 0.999900936
1311867171.126251459 -0.178124919 -0.081300714 -0.067510421 0.005841776 0.010895263 -0.012340068 0.999847433
1311867171.162247419 -0.162039726 -0.071076776 -0.075449258 0.009617559 0.005445055 -0.007595145 0.999910080
1311867171.194268703 -0.142637188 -0.092647296 -0.076231238 0.006273901 0.000819971 -0.007823749 0.999949376
1311867171.226252794 -0.115516944 -0.079976085 -0.080096157 0.008974415 -0.002346602 -0.005797542 0.999940169
1311867171.262243986 -0.083504322 -0.071039734 -0.080934412 0.010599219 -0.005346371 -0.006912262 0.999905642
1311867171.294340849 -0.114333139 -0.074874890 -0.088859886 0.008784020 0.006916825 -0.013557998 0.999845578
1311867171.326387405 -0.098270320 -0.068924697 -0.088310601 0.007830526 0.009193229 -0.014785385 0.999817763
1311867171.362246037 -0.102654377 -0.072248107 -0.089655372 0.005501997 0.013590450 -0.016671872 0.999753508
1311867171.394142389 -0.116091609 -0.081950204 -0.093291845 0.000532587 0.018455573 -0.017586383 0.999674861
1311867171.426288128 -0.113540650 -0.084387785 -0.093397630 -0.001042961 0.017407417 -0.018635390 0.999674255
1311867171.462243557 -0.107353630 -0.085349716 -0.097244017 -0.000314788 0.014943997 -0.020544646 0.999677196
1311867171.494403839 -0.097978601 -0.057379023 -0.094663339 0.005096707 0.013636718 -0.020101777 0.999691944
1311867171.526177883 -0.123866503 -0.089814395 -0.102603381 -0.001124725 0.017759305 -0.020130062 0.999638996
1311867171.562296867 -0.108465852 -0.083341771 -0.104827085 0.000531088 0.012538010 -0.019813282 0.999724937
1311867171.594292879 -0.093437350 -0.079808385 -0.107231996 0.000251733 0.010598542 -0.021279719 0.999717351
1311867171.626340151 -0.134588206 -0.060210610 -0.105807908 0.004646152 0.019193752 -0.023561787 0.999527316
1311867171.662256241 -0.118065696 -0.062812912 -0.107112373 0.005154255 0.014374413 -0.025523422 0.999557585
1311867171.694343567 -0.145900553 -0.066944706 -0.099246133 0.003968109 0.017811834 -0.026608517 0.999479354
1311867171.726243734 -0.162067967 -0.093158824 -0.105026632 -0.001404488 0.017207239 -0.024136922 0.999559577
1311867171.762119532 -0.200316698 -0.066137588 -0.102644955 0.005378580 0.021704265 -0.025292520 0.999429980
